Date Entered,Time Entered,Date Due,Time Due,Type,Priority,Description,Contact,Comments,Date Complete,Time Complete,Status
2014/05/30,07:43:37,2014/07/02,09:00:00,Personal,3,LSS Safehouse Monday,St. Peders,Wrote reminder note for home,07/02/14,07:37:40,
2014/04/09,15:41:35,2014/07/02,07:00:00,Business,1,PW Policy Compliance,Angelo,Haven't heard anything lately; so closing.,07/02/14,07:38:19,Late
2014/07/02,13:22:38,2014/07/03,15:00:00,Business,2,Task Tracking - Sort Tasks by Date/Time before all saves,,Added s100_sort,07/02/14,13:58:39,
2014/07/02,14:48:53,2014/07/03,07:00:00,Business,1,Publish B-Edit - Start at step 8 of deployment,Forrest,Published,07/03/14,08:13:34,Late
2014/07/02,13:46:17,2014/07/03,09:00:00,Business,3,Poh Im Khoo Last Day,Poh Im Khoo,Nice talk with Poh Im before she left.,07/07/14,08:39:13,Late
2014/07/03,13:10:25,2014/07/04,07:00:00,Personal,1,Block Party Tickets,Louella,Purchased Sunday 7/6/2014 for Lou; Liz; Jess; Forrest,07/07/14,08:40:05,Late
2014/07/01,13:00:39,2014/07/03,14:00:00,Personal,1,Pickup Louella from Airport,Louella,Got to the airport on-time; big smiles and hugs; everything was perfect!,07/07/14,08:40:48,Late
2014/07/02,13:13:09,2014/07/03,07:00:00,Business,1,B-Edit Java Design Review,Mike Yushchenko,Few talks with Mike before I left on Louella vacation for July.,07/07/14,08:42:32,Late
2014/07/02,07:38:46,2014/07/07,07:00:00,Personal,1,LSS Safehouse,,Dropped off food with Liz and Louella.,07/08/14,09:51:00,Late
2014/06/27,14:50:12,2014/07/03,13:00:00,Business,1,Goals and Objectives,Brian Kirchner,Sent initial draft of goals to Brian 7/10/2014 at 10:40am (C:\Users\213000864\Documents\Docu\personal\G&O\2014\Bentley-G&O-2014.xls),07/10/14,10:44:59,Late
2014/07/11,09:23:19,2014/07/11,11:00:00,Business,3,G&O - Create and Submit,Brian Kirchner,Created and submitted 7/11/2014 at 9:20am. Original request from Woods Jr.; Kevin (GE Capital) <Kevin.WoodsJr@ge.com> 6/30/2014 at 4:58pm.,07/11/14,09:25:31,
2014/06/30,09:30:03,2014/07/11,11:00:00,Personal,2,Maui GoPro Photos/Movies and Blowhole Photos,Josh & Rachel,Rachel posted Maui photos 7/10/2014; so I have my Blowhole photo. Still need underwater GoPro video/photos.,07/11/14,09:30:05,
2014/07/11,09:35:07,2014/07/11,16:00:00,Personal,1,NBS - Cash Disbursement Acct #LQ12954,(800) 325-5144,Requested 7/11/2014 at 9:49am; $171.60 Cash Fund (Check Today); $1000 RSU trade (Check next Wednesday),07/11/14,09:52:11,
2014/07/02,13:21:16,2014/07/03,07:00:00,Business,3,Neil Thank You eMail,Neil Adakonis,Sent 7/11/2014 at 10:42am,07/11/14,10:43:24,Late
2014/07/03,13:09:17,2014/07/12,08:00:00,Personal,1,Warrior Dash Today,Louella,Pouring rain 1st try; 2nd try we were too late :-( but we got our shirts and medals.,07/14/14,10:01:43,Late
2014/07/03,08:15:58,2014/07/15,10:00:00,Personal,2,Cash out UBS Financial,,Called to cash out 7/11/2014,07/14/14,10:02:36,
2014/07/17,10:34:32,2014/07/18,12:00:00,Personal,1,Twins Tonight,Liz/Louella,Liz and Louella going; nice weather.,07/18/14,08:50:30,
2014/07/17,10:32:54,2014/07/22,12:00:00,Personal,1,Twins Baseball Tonight,Liz/Jess?,Liz and Jess went; Twins/Indians; Twins lost 2-8,07/23/14,10:02:54,Late
2014/07/03,13:09:46,2014/07/23,07:00:00,Personal,1,Torchlight 5K Tonight,Jess/Louella/Josh/Rachel,Liz came too and walked with me and Lou the entire race.,07/24/14,09:22:51,Late
2014/07/17,10:31:49,2014/07/25,12:00:00,Personal,1,Aquatennial Fireworks Tomorrow,,Stone Arch Bridge with Liz; Louella; Josh; Rachel; Jess; Ariel,07/28/14,11:19:43,Late
2014/05/30,07:40:31,2014/07/25,09:00:00,Personal,3,Outdoor Service Sunday,St. Peders,Liz and Forrest only; cool morning; cloudy; windy,07/28/14,11:20:11,Late
2014/06/25,08:43:44,2014/07/18,07:00:00,Personal,1,United Way Golf Signup,Joel Rasmusson,Paid $75 8/1/2014 at 10:00am United Way check #17506 to Joel,08/01/14,10:06:56,Late
2014/07/22,08:57:04,2014/08/01,10:00:00,Business,1,Required Training Assigned - Received 7/21/2014 at 11:49pm,,Completed: Fundamentals of Application Security - Full Version (24 out of 25 correct = 96%),08/04/14,10:11:26,Late
2014/07/17,10:34:58,2014/08/05,12:00:00,Personal,1,Twins Tonight,,Plan to go with Jess; but she has a bad back; we'll see...,08/05/14,14:25:12,Late
2014/08/01,07:54:36,2014/08/06,16:00:00,Personal,1,Dentist Tomorrow at 8am,Thomas Bruss,Teeth were fine,08/07/14,09:41:55,Late
2014/07/02,14:51:38,2014/07/31,07:00:00,Personal,1,Rock for Portugal,Monica Caldas,Monica would like a Minneapolis skyline,08/07/14,11:35:24,Late
2014/06/23,15:55:57,2014/08/11,07:00:00,Business,2,Valleyfair Saturday,,Aren't going,08/11/14,07:46:10,Late
2014/08/06,09:25:04,2014/08/11,11:00:00,Business,1,Casual Day tomorrow,Monica Caldas,Wore my "Run With Fire" Torchlight 5K shirt,08/12/14,08:29:51,Late
2014/08/06,09:25:49,2014/08/12,11:00:00,Business,1,IT BBQ at Noon,VIC,Played Disc golf with Veena and Aparna,08/13/14,08:40:21,Late
2014/08/13,16:05:58,2014/08/14,07:00:00,Business,1,2 Page Summary of ARB Charter,Brian Kirchner,First draft sent to Brian,08/14/14,15:02:42,Late
2014/05/30,07:41:24,2014/08/15,09:00:00,Personal,3,Outdoor Service Sunday,St. Peders,Hope for good weather,08/15/14,09:35:36,Late
2014/08/14,15:13:43,2014/08/15,17:00:00,Business,1,Governance: Retain Application Documentation; not just project docs,,Created a directory for application architecture; added link to tracking XLS.,08/15/14,09:36:08,
2014/08/04,11:16:54,2014/08/20,13:00:00,Business,1,United Way Golf Tournament Tomorrow at 8:00am,Heritage Links Golf Course Lakeville; MN,Printed directions,08/20/14,08:52:39,
2014/07/17,10:35:17,2014/08/22,12:00:00,Personal,1,Twins Tomorrow Tonight,,Wrote note for tomorrow,08/22/14,08:18:02,
2014/04/30,09:22:56,2014/08/25,07:00:00,Personal,2,Janelle/Michael Wedding 8/30,Janelle,Shopping next weekend,08/25/14,08:41:54,Late
2014/08/26,10:18:47,2014/08/27,12:00:00,Personal,1,Lou Dentist Apt 8/28/2014,Louella Dent,Wrote email,08/27/14,09:51:14,
2014/08/25,12:00:12,2014/08/28,07:00:00,Personal,2,River Rats at 6:30,,May rain tonight; so not sure if we'll go,08/28/14,08:32:57,Late
2014/04/30,09:23:48,2014/08/29,07:00:00,Personal,2,Janelle/Michael Wedding Tomorrow,Janelle,Shopping tomorrow at Sears for Gift Card,08/29/14,08:04:12,Late
2014/08/29,15:17:56,2014/09/01,16:00:00,Personal,1,Badminton Signup Tomorrow,Liz,Text to Liz,09/02/14,08:25:48,Late
2014/09/02,08:10:32,2014/09/02,10:00:00,Personal,1,Rock Arrived?,Bianca,yes I did get it on Friday right before he got in so gave it to him as a surprise; the rock looked awesome. and he was super excited with it; was instagramming it and sending it to all his friends back in Seattle
,09/02/14,11:38:57,Late
2014/09/05,08:04:20,2014/09/05,10:00:00,Business,3,Monster Dash Signup - Forrest; Josh; Rachel,Fitness Center,Turned in check 9/4/2014 for $67.48,09/05/14,08:05:00,
2014/07/17,10:35:34,2014/09/05,12:00:00,Personal,1,Twins Sunday Afternoon,,Note for home ready,09/05/14,08:22:15,
2014/09/02,08:09:12,2014/09/05,10:00:00,Business,1,Call Nadine Tomorrow - Address/Bday,Nadine Allaf,Note for home ready,09/05/14,08:22:22,
2014/09/18,08:45:36,2014/09/24,07:00:00,Personal,1,United Way Pledge,Judy Heiland - Link,Pledge complete and received casual day stickers,09/24/14,08:45:35,Late
2014/06/12,16:17:21,2014/06/30,07:00:00,Business,2,Goveranance - Adjust security checklist adding architecture/design/development/src code management,Syed Husainni,Security sections were updated a couple months ago.,09/25/14,14:19:04,Late
2014/09/24,13:24:07,2014/09/30,15:00:00,Business,1,Beditwin Bitmap Display,,Working with copy and stretch!,09/30/14,08:30:33,
2014/09/30,07:50:25,2014/09/30,09:00:00,Personal,2,River Rats PPT Print for Rock,,Printed 2 sheets.,09/30/14,15:01:21,Late
2014/09/23,09:36:05,2014/09/30,11:00:00,Personal,1,Borrow Projector?,Linda Ericson -> Josh/Rachel,Linda said yes I can. I texted Josh and Rachel.,10/01/14,08:16:13,Late
2014/09/09,14:12:51,2014/09/17,07:00:00,Business,2,Analysis of Search Log Files,Aparna Kansal and Dillip Subudhi,Installed and tested on Dillip Subudhi's machine; everything works well (except Dillip has a '.' character in his directory structure which causes problems).,10/01/14,15:47:30,Late
2014/09/04,08:19:42,2014/10/03,07:00:00,Personal,1,Birthday dinner/event tomorrow for Liz,Liz,Going to Duluth Saturday night; eating at Radisson Sunday at 1:00,10/03/14,07:46:28,Late
2014/10/01,08:19:43,2014/10/13,10:00:00,Business,1,United Way Sun Country tickets!,Dawn Marcotte (Josh Hobday said Dawn place order),Picked up $540 gift certificate from Dawn Marcotte,10/08/14,11:42:02,
2014/09/15,13:20:25,2014/10/09,07:00:00,Personal,1,Olivia Lunch Saturday?,Olivia West,Lunch with Olivia and Rachel at Punch on UofM campus last Saturday 10/4/2014.,10/09/14,09:12:15,Late
2014/10/03,15:53:13,2014/10/06,07:00:00,Business,1,Setup ARB Meeting,ARB member list from Brian email,Setup first meeting for 10/15/2014,10/09/14,15:10:34,Late
2014/08/14,15:01:52,2014/10/10,17:00:00,Personal,2,Rock Requests,Sarah Kanan,Asked Sara via email today,10/10/14,08:59:28,
2014/08/14,14:55:55,2014/10/10,16:00:00,Personal,2,Mizna Arab Film Festival when?,Sarah Kanan,Asked Sara via email today,10/10/14,08:59:39,
2014/06/25,14:24:37,2014/06/30,13:00:00,Business,1,Setup Governing Architecture Review Board (ARB),Brian Kirchner,Setup first ARB for 10/15/2014,10/10/14,09:11:30,Late
2014/10/03,08:46:28,2014/10/06,10:00:00,Business,1,Jess Off Health Ins,GE,Changed Opt2 HlthChoice 3+ to 2 so monthly will reduce from $218.46 to $173.32 (reduced $45.18 per check). Also the HRA account yearly allotment will change from $1000 to $750.,10/10/14,14:05:09,Late
2014/09/05,11:54:11,2014/10/14,13:00:00,Personal,1,First Badminton Session 7:00-9:00,Washburn,Biked today; leave early enough to eat and go to badminton.,10/14/14,14:28:46,Late
2014/10/10,08:49:31,2014/10/15,10:00:00,Business,1,Attivio Log File Analysis Status,Aparna Kansal,Received good status 10/10/2014,10/15/14,08:42:52,
2014/10/14,15:56:35,2014/10/15,17:00:00,Personal,1,Edit River Rats Photo,,Edited and sent home,10/15/14,11:19:22,
2014/09/29,10:28:38,2014/10/16,12:00:00,Personal,1,Dinner with Jennifer/Byron Sunday - Call tonight,Jennifer and Byron,Wrote note to call tonight,10/16/14,08:53:56,
2014/10/15,08:43:26,2014/10/15,10:00:00,Personal,1,Offer room for Josh/Rachel wedding visit,Tom Bentley,Sent email to Tom 10/16/2014,10/17/14,09:06:05,Late
2014/10/13,07:46:10,2014/10/17,09:00:00,Personal,1,IKEA Dresser Tonight for Jess' Room,Liz Bentley,Wrote a note to buy it tonight,10/17/14,09:21:52,Late
2014/10/13,15:45:40,2014/10/21,17:00:00,Personal,1,Diwali Kurta Tomorrow,,Wrote a note for home,10/21/14,08:21:42,
2014/10/16,09:18:17,2014/10/16,11:00:00,Business,1,ARB Colab Post - Members; Mission; etc... review with Brian prior to publishing,Brian Kirchner,Sent draft to Brian 10/20/2014,10/21/14,08:23:14,Late
2014/09/09,14:33:34,2014/10/22,16:00:00,Personal,1,Monster Dash Pickup Tomorrow,Liz/Jess ID Mailed/Texted,Set to pickup numbers today. I have Liz and Jess' IDs in email.,10/23/14,10:45:17,Late
2014/09/09,14:34:29,2014/10/24,16:00:00,Personal,1,Monster Dash Tomorrow,Josh/Rachel,Picked up numbers yesteday (solar eclipse also!),10/24/14,09:04:46,
2014/10/20,08:18:24,2014/10/24,10:00:00,Personal,1,Black Suit Shopping,Liz Help,On list for this weekend,10/24/14,09:15:40,
2014/10/20,08:21:47,2014/10/24,10:00:00,Personal,2,Check Snowblower,,Started on second pull!,10/27/14,09:01:44,Late
2014/10/16,08:53:08,2014/10/16,07:00:00,Personal,1,Rome Rock for Wedding,Josh and Rachel,Finished Sunday 10/26/2014,10/27/14,09:02:04,Late
2014/05/05,07:33:53,2014/10/27,09:00:00,Personal,1,Josh/Rachel Wedding 10/31,Josh/Rachel,Ready for wedding on Friday!,10/27/14,09:03:11,Late
2014/10/13,16:05:40,2014/10/14,07:00:00,Personal,1,Sunaina Congratulations,Sunaina Pereria,Wrote Congratulations on Saturday 10/25/2014,10/27/14,09:21:17,Late
2014/10/10,07:56:26,2014/10/27,09:00:00,Personal,1,Jess flight tomorrow arrives at 9:13AM,Jessica Bentley,Ready to pick Jess up in the morning; taking PC home,10/27/14,10:18:21,Late
2014/10/13,08:14:43,2014/10/30,10:00:00,Personal,1,Josh/Rachel leave for Italy Sunday 11/02/2014 at 5:12pm,Josh/Rachel,Gift/card/check/rock ready to give to them.,10/30/14,07:21:34,
2014/10/01,08:17:58,2014/10/28,10:00:00,Business,1,Pick up projector from Linda this week (she's off Friday),Linda Ericson,Picked it up this morning.,10/30/14,07:22:24,Late
2014/10/29,15:47:00,2014/10/30,07:00:00,Business,1,Cobertura used in CD for code coverage? If not; what tool is used?,Mike Yushchenko,JaCoCo should be used in place of Cobertura (answered in Brian's daily CD standup meeting).,10/30/14,10:59:19,Late
2014/05/05,07:34:35,2014/10/31,09:00:00,Personal,1,Josh/Rachel Wedding,Josh/Rachel,Rehersal dinner last night; ready for their wedding tonight!,10/31/14,07:25:10,
2014/10/20,08:22:09,2014/10/24,10:00:00,Personal,1,Storm Window Paint,Liz,Bought brown paint today (Brown Eyes),11/02/14,21:15:24,Late
2014/10/10,07:57:28,2014/11/03,09:00:00,Personal,1,Jess flight leaves tomorrow at 5:25pm,Jessica Bentley,On my calendar to drive her to the airport,11/03/14,08:15:10,
2014/10/31,09:00:53,2014/11/03,11:00:00,Business,1,Recurring Webex,Syed Hussaini,Setup as http://sc.ge.com/*FBentley,11/03/14,09:19:50,
2014/10/29,15:40:05,2014/11/07,07:00:00,Personal,1,Signup for Reindeer Run,Online,Signed up; cost of $33.03,11/04/14,10:01:16,
2014/10/24,09:24:03,2014/10/27,11:00:00,Business,1,Yearly Benefits Open Enrollment - Check on changes for Liz,,Switched to Option 1 on 11/4/2014,11/05/14,07:42:57,Late
2014/11/06,09:07:16,2014/11/07,11:00:00,Personal,1,Facetime with Josh tonight at 5:00pm,Josh and Rachel,Wrote note for home,11/07/14,07:02:46,
2014/11/06,09:07:48,2014/11/07,11:00:00,Personal,1,Skype with May/Manas tomorrow at 6-7pm,May & Manas,Wrote note for home,11/07/14,07:02:59,
2014/11/06,15:56:33,2014/11/07,17:00:00,Business,1,Update Governance Expectations (all scanners in place before TG2; in use during build),,Updated Expectations email notes,11/07/14,08:01:22,
2014/11/07,08:03:53,2014/11/07,10:00:00,Business,1,Setup meeting to get front-end dev more engaged with Governance,Ann Dvoretsky,Setup for Wednesday 11/12/2014,11/10/14,09:03:29,Late
2014/10/13,08:15:57,2014/11/11,10:00:00,Personal,1,Josh/Rachel back from Italy tomorrow 11/12/2014 at 3:00PM,Josh/Rachel,Ready to pick them up,11/11/14,11:15:19,Late
2014/11/03,08:13:59,2014/11/12,10:00:00,Personal,1,Josh and Rachel back from Italy at 5:07pm,MSP,Texted with Josh this morning; ready to pick them up!,11/12/14,07:33:30,
2014/11/11,22:29:47,2014/11/12,07:00:00,Personal,1,Leave for Home at 4:00pm to get to Airport for 5:07pm flight,Josh/Rachel MSP,On my GE Calendar,11/12/14,07:34:16,Late
2014/09/04,08:18:52,2014/11/11,10:00:00,Personal,1,Louella Oral Surgery Nov 13th email,Louella Dent,Send email last night; praying for her; she'll be watched over!,11/12/14,14:19:53,Late
2014/05/05,07:35:30,2014/11/13,09:00:00,Personal,1,Dylan/Leah Wedding 11/16,Dylan/Leah,Ready for wedding on Sunday!,11/13/14,07:54:08,
2014/11/11,12:27:21,2014/11/14,14:00:00,Personal,1,Builder created 1 year ago,,Quite a bit of functionality for 1 year!!,11/14/14,08:04:30,
2014/10/30,14:13:12,2014/11/14,16:00:00,Business,1,1 Year Anniversary of starting Builder Tomorrow,,Finished changing Control window to Full Screen. Functionality in 1 Year (create and generate systems for bedit; beditwin[full window object creation]; full interactive debugging; view program flow; call flow; pom file dependencies; download 3090; user manuals update). Created other systems: GECA Technology; Task Tracker; RPM; ASA; Pacman; Life; Attivio Log Analysis; Cross-Site Scripting Fix; URL Jumping Fix; JSDoc Checker. ,11/14/14,12:53:09,
2014/11/12,11:31:47,2014/11/14,13:00:00,Business,1,Asif Last Day Today,Asif Shariff,Saw Asif on Wednesday; but he left too early to say bye on Friday.,11/15/14,08:56:07,Late
2014/05/05,07:36:13,2014/11/16,09:00:00,Personal,1,Dylan/Leah Wedding,Dylan/Leah,Ready to leave at 1:55 for the wedding at 3:00.,11/16/14,11:01:42,Late
2014/11/11,22:29:15,2014/11/12,01:00:00,Personal,1,Lang Command New Objects Mix before create,,Working,11/17/14,07:41:30,Late
2014/11/15,22:39:10,2014/11/17,07:00:00,Personal,1,Attach text to paintfile objects or create additional text object (if text entered),Builder,Created second object with text; improved initial positioning of objects also.,11/18/14,07:52:38,Late
2014/11/18,16:06:34,2014/11/18,07:00:00,Business,1,Security Awareness Training,,Completed 11/18/2014 with a score of 100%,11/18/14,16:07:10,Late
2014/11/17,15:45:53,2014/11/18,07:00:00,Personal,1,Speed up drag if connectors are present,Builder.bed,Changed connector object lookup to fs which improved speed,11/20/14,07:27:00,Late
2014/11/20,11:05:34,2014/11/20,16:00:00,Business,1,Devcloud Jenkins use? 386451 Appscan/Sonar not on Dashboard; no Fortify,Brian Kirchner,Wrote email to PM (Michael) saying that the scan results must be flowing to the SDLC; and that Fortify must also be configured before TG2 signoff.,11/21/14,09:35:39,Late
2014/10/10,08:00:49,2014/11/24,10:00:00,Personal,1,Jess's flight arrives tomorrow at 10:15pm,Jessica Bentley,Ready to pick her up!,11/24/14,07:59:51,
2014/11/23,18:31:42,2014/11/24,20:00:00,Business,1,Remove **** lines from paintfile; test on desktop,Builder,Tested OK,11/24/14,15:12:14,
2014/11/23,18:31:02,2014/11/24,20:00:00,Personal,1,Fix Dup to use current object type and not the currently selected combo type,Builder,Fixed,11/24/14,15:39:39,
2014/11/25,12:49:30,2014/11/26,14:00:00,Personal,1,List of 20 things about me,,Finished list; sent to yahoo account,11/26/14,13:56:31,
2014/11/23,18:33:03,2014/11/28,20:00:00,Business,1,Fix loss of all paintfile object occassionally when undo is pressed,Builder,Fixed,11/28/14,11:44:28,
2014/11/20,08:35:36,2014/12/01,07:00:00,Personal,1,Iraqi  Voices Premiere Tomorrow at 7:00PM,Macalester College; 1600 Grand Ave; St Paul; 55105; Ruth Stricker Dayton Campus Center Lower Level,On the calendar to go with Liz.,12/01/14,07:50:13,Late
2014/10/10,08:01:52,2014/12/01,10:00:00,Personal,1,Jess's flight leaves tomorrow at 3:00pm,Jessica Bentley,On my calendar to leave early,12/01/14,07:50:40,
2014/11/12,14:59:25,2014/12/01,16:00:00,Personal,1,Jess' flight leaves tomorrow at 3:00pm,Jessica Bentley,On schedule to leave early from work.,12/01/14,07:56:54,
2014/09/30,07:49:32,2014/12/02,09:00:00,Personal,1,Last Badminton Session 7:00-9:00,Washburn,Postponed to next week,12/02/14,07:47:10,
2014/11/20,08:37:49,2014/12/02,16:00:00,Business,1,Iraqi Voices Tonight at 7:00PM,Macalester College; 1600 Grand Ave; St Paul; 55105; Ruth Stricker Dayton Campus Center Lower Level,Very moving films; Sarah's was short but very good!,12/03/14,08:05:27,Late
2014/11/21,09:54:26,2014/12/03,07:00:00,Business,1,Print Speed to Trust responses: Forrest.Bentley@ge$tserrof12 - Personal\SpeedToTrust dir,http://assessments.franklincovey.com ,Printed and ready for class.,12/03/14,08:08:09,Late
2014/11/19,11:38:52,2014/12/04,07:00:00,Business,1,Check Speed to Trust responses: Forrest.Bentley@ge$tserrof12,http://assessments.franklincovey.com - Brian,Checked and printed; ready for class tomorrow.,12/04/14,07:35:38,Late
2014/11/04,10:01:17,2014/12/04,12:00:00,Personal,1,Reindeer Run Packet Pickup tomorrow 11:00am - 6:00pm,Harriet Bandshell,On my calendar,12/04/14,07:35:53,
2014/11/24,08:00:10,2014/12/04,10:00:00,Personal,1,White Elephant party at Peter Anderson's tomorrow evening,Anderson's,Switched to O'day's; probably not going though; too many other things going on.,12/04/14,07:36:31,
2014/12/04,16:16:07,2014/12/05,07:00:00,Business,1,Add Mike/Igor to Architecture Review meeting requests,,Done,12/05/14,08:27:34,Late
2014/10/09,09:12:18,2014/12/05,11:00:00,Personal,1,Pepper Spray and Ear Plugs,Oliva West,On my Christmas List,12/05/14,08:28:41,
2014/12/03,08:04:28,2014/12/05,10:00:00,Personal,1,Driving Range Tomorrow?,Josh Bentley,Sent text to Josh,12/05/14,08:32:54,
2014/11/04,10:02:03,2014/12/05,12:00:00,Business,1,Reindeer Run Packet Pickup Today -  Race tomorrow at 9:30am,Harriet Bandshell,On my calendar,12/05/14,08:33:30,
2014/12/05,09:00:38,2014/12/05,07:00:00,Business,1,Speed of Trust Training,Patricia Cowan,Received Trust Quotient responses; training completed.,12/05/14,09:01:35,Late
2014/12/04,16:21:28,2014/12/05,07:00:00,Personal,1,Fix Builder - reopen window Arrow objects CX/CY bad; add object select window,Builder.bed,Code had lower case 'arrow'; changed to 'Arrow',12/05/14,10:52:11,Late
2014/12/05,08:37:38,2014/12/05,10:00:00,Business,1,Change Watch entry to Follow-Up check box,GECATechnology.bed,Changes finished,12/05/14,10:52:31,Late
2014/12/06,16:26:29,2014/12/08,07:00:00,Personal,1,Fitness Center 5k 25:17; Reindeer Run 24:45,,Recorded,12/08/14,07:36:59,Late
2014/12/07,18:21:27,2014/12/08,20:00:00,Personal,1,Fix select special objects window already open and reopen makes visible,Builder.bed,Added setfocus after window open,12/08/14,08:00:49,
2014/12/08,08:12:37,2014/12/09,07:00:00,Personal,1,Coffee Selection,Liz Bentley,Selected samples,12/09/14,07:33:23,Late
2014/12/02,07:47:43,2014/12/09,09:00:00,Personal,1,Harris Bank Lien Release received?,Harris Bank BMO,Received in mail Saturday,12/09/14,07:33:48,
2014/12/04,16:16:34,2014/12/05,07:00:00,Business,1,Add Mike/Igor to ARB,Brian Kirchner,Added both; and Mike joined ARB meeting 12/9/2014,12/10/14,08:39:53,Late
2014/11/25,12:52:47,2014/12/10,14:00:00,Business,1,EMS Updated,,Completed 12/10/2014,12/11/14,08:04:36,Late
2014/12/08,08:17:29,2014/12/11,16:00:00,Business,1,Mentor Lunch Sunday?,Anders Jensen,Anders was sick for 3 days; so has a lot of homework to do; so not this weekend.,12/12/14,11:38:58,Late
2014/10/10,16:30:04,2014/12/09,07:00:00,Personal,1,Copy B-Edit; BEDITWIN; and C Compiler to Jump Drive,Mike Yushchenko,Copied all to drive using pkzip and net command to copy file. net use \\3.162.141.104\DropBox pi314 /user:labtest copy c:\bedit\BentleyBeditBackup.zip \\3.162.141.104\DropBox\BentleyBeditBackup.zip,12/12/14,13:26:16,Late
2014/11/25,17:18:42,2014/12/03,19:00:00,Business,2,Install VNC Protocol for remote Apple access,Mike Yushchenko,Used Net command instead,12/12/14,13:26:35,Late
2014/12/10,14:26:40,2014/12/11,07:00:00,Business,1,Review the GECA Technology COLAB communication; get it up to date and publish,Brian Kirchner,Published ARB introduction.,12/15/14,08:51:01,Late
2014/12/15,09:01:46,2014/12/16,07:00:00,Business,1,Speed up zoom,GECA Technology,Improved speed of zoom in/out.,12/15/14,13:57:23,
2014/11/25,12:43:07,2014/12/01,14:00:00,Business,1,GECA Technology working on Network,GECA Technology,Working,12/15/14,15:24:05,Late
2014/12/15,15:24:38,2014/12/16,16:00:00,Business,1,GECA Technology drag view screen,GECA Technology,Added drag for polar zoom.,12/16/14,12:57:32,
2014/10/10,07:58:47,2014/12/19,09:00:00,Personal,1,Jess flight arrives Sunday at 10:20pm,Jessica Bentley,Ready to pick her up!,12/19/14,07:41:54,
2014/10/17,09:38:21,2014/12/19,11:00:00,Personal,1,Eclipse Oil Due,Josh Bentley,Set for tomorrow; along with Driving Range!,12/19/14,18:29:25,Late
2014/12/08,07:21:30,2014/12/22,09:00:00,Personal,1,Christmas Carol Saturday Night,Guthrie,Everyone is ready!,12/22/14,09:04:03,Late
2014/11/07,14:08:49,2014/12/22,16:00:00,Business,1,Mexico Configurator - Appscan config for SwiftEdit changes; plus Fortify planning,Kishan Barot/Angelo Williams/Mike Y.,Done,12/22/14,09:21:53,
2014/12/19,08:42:58,2014/12/23,07:00:00,Personal,1,Merry Christmas/Happy New Year eMails to all friends,,Finished 12/24/2014,12/26/14,07:42:21,Late
2014/12/30,14:56:40,2015/01/02,07:00:00,Personal,1,Lunch on Sunday with Jessica?,Jessica Geroux,Going to Perkins,01/02/15,08:55:34,Late
2014/10/10,07:59:44,2015/01/02,09:00:00,Personal,1,Jess flight leaves Monday at 1:50pm,Jessica Bentley,On my calendar; working from home Monday,01/02/15,09:03:59,Late
2015/01/01,11:26:44,2015/01/02,13:00:00,Business,1,Mail Finance 2014 XLS Home,,Mailed this morning,01/02/15,09:04:16,
2014/12/30,14:36:55,2015/01/06,07:00:00,Personal,1,Seema Lunch Wed; where?,Seema Gopalan,Don Pablos at 11:00,01/06/15,15:44:18,Late
2015/01/08,07:43:08,2015/01/09,09:00:00,Personal,1,Skype this weekend - Christmas Gifts/New Years,May and Manas,Wrote a note,01/09/15,07:48:14,
2014/12/26,16:54:16,2015/01/09,16:00:00,Personal,1,Open Priority to 2 characters for hilight and change,Task Tracker,Completed,01/09/15,09:48:05,
2015/01/08,16:20:32,2015/01/09,16:00:00,Business,1,PHP; Tomcat GEFS/JSP/Test.JSP Testing,TheNewBoston.COM,Tested and documented PHP,01/09/15,15:45:52,
2014/12/30,14:53:23,2015/01/09,16:00:00,Business,1,Setup lunch for this weekend. Saturday?,Olivia & Rachel,Set for Saturday at noon!,01/09/15,15:46:10,
2014/10/30,10:58:05,2014/11/03,07:00:00,Business,1,Publish GECA Technology Link,ARB Architects,Decided not to publish to all,01/12/15,08:01:06,Late
2014/08/06,09:08:41,2015/01/14,16:00:00,Personal,1,Jill/Kerry Dinner Tonight,Audette's,On the calendar,01/14/15,07:33:13,
2014/12/08,08:17:54,2015/01/15,10:00:00,Business,1,Mendor Lunch Sunday,Peter Anderson,Sent email to Tim,01/15/15,13:53:26,Late
2015/01/14,15:55:35,2015/01/15,17:00:00,Personal,1,Zaineb rock message - Lunch Saturday with Sarah?,Zaineb Kanan - Facebook,Zaineb can't make Saturday due to spending time with her daughter; we'll have to figure out how to get the rocks to her.,01/15/15,14:15:39,
2015/01/14,10:03:33,2015/01/16,07:00:00,Business,1,Carbone's tonight?,Liz,Liz/Josh/Rachel,01/16/15,07:36:34,Late
2015/01/15,07:35:42,2015/01/16,09:00:00,Business,1,Carbone's Tonight,Liz-Josh-Rachel,On schedule,01/16/15,07:36:47,
2015/01/12,15:09:23,2015/01/16,17:00:00,Personal,1,Jill Shoveling,Liz,Let Liz know earlier in the week.,01/16/15,07:37:32,
2015/01/08,08:54:04,2015/01/15,16:00:00,Business,1,Buy Fayetteville Tickets,Orbitz/Expedia/Kyack/Cheapair,Buying them tonight,01/16/15,07:38:35,Late
2015/01/16,15:20:45,2015/01/20,16:00:00,Business,1,Connectors on Desktop remain when testing,Builder,Old version of BEDITWIN in c:\bedit\beditwin\builder directory.,01/20/15,13:09:46,
